concentration 0%,concentration 10%,concentration 20%
2.3,6.1,4.5
8.7,1.5,1.6
1.2,2.6,7.4
43.1,16.6,18.2
36.6,7.5,10.4
32.7,17.7,12.4
67.3,30.6,22.7
52.1,24.5,23.8
47.8,43.2,25.3
71.6,57.2,33.4
68.3,35.7,27.6
63.7,55.1,32.3
